Date,Name,Marketplace,Status
8-Jun-21,alcohol wipes,Amazon UK,Rejected (Permanently)
8-Jun-21,apple corer,Amazon UK,Rejected (Permanently)
8-Jun-21,Apple slicer,Amazon UK,Rejected (Permanently)
8-Jun-21,"Apron, cooking apron, chef apron",Amazon UK,Rejected (Permanently)
8-Jun-21,Art set,Amazon UK,Rejected (Permanently)
8-Jun-21,Baby Bibs,Amazon UK,Rejected (Permanently)
8-Jun-21,Baby Changing mat,Amazon UK,Rejected (Permanently)
6-Jun-21,Back Scratchers,Amazon UK,Rejected (Permanently)
6-Jun-21,Back Stretcher,Amazon UK,Rejected (Permanently)
22-Mar-21,Back Support,,
13-Mar-21,"baking apron, kitchen apron, cooking apron",,
,bamboo chopsticks,,
,Bamboo toothbrushes,,
,Bath Caddy,,
,Bath mat,,
,bean bag,,
,beyblade brust,,
,bird feeder,,
,Bird Feeders,,
,Blue Roll,,
,bolt lock,,
,book stand,,
,box file,,
,boxing reflex ball,,
,Bread bag,,
,bread basket,,
,Brow lamination kit,,
,brown packing tape,,
,brown paper bag,,
,Bubble Mailers,,
,bubble mailing bags,,
,Bunion Corrector,,
,Butter Knife,,
,caddy organiser,,
,cake board,,
,Cake Stand,,
,candle holder,,
,candle making kit,,
,candy floss maching,,
,Canvas,,
,car ice scraper,,
,Cat bed/beds,,
,"Cat hair remover,",,
,Caulking Tool,,
,cheese grater,,
,chicken wire,,
,chocolate ball mould/ chocolate bomb moulds,,
,chrome towel rail,,
,cleaning gel for car,,
,Clothes steamer,,
,Coffee Knock Box,,
,coffee tamper,,
,colour changing light bulbs,,
,Compost Bin,,
,Cookbook stand,,
,Cookie cutter,,
,Corkscrew,,
,craft foam,,
,cream charger,,
,credit card holder,,
,cup with straw,,
,cupcake boxes,,
,Dart set,,
,desk tidy,,
,desk tidy organiser,,
,dish drainer rack,,
,disposable coffee cup,,
,Disposable Gloves,,
,disposable pipinag bags,,
,disposable piping bags,,
,dog birthday,,
,dog blanket,,
,"dog Car Seat, car seat for dogs, pet car seat, dog seat for car",,
,Door mats,,
,"door strip brush, door draught excluder, draft excluder for door bottom",,
,drain unblocker,,
,"drawer knows, door knobs for chest of drawers, drawer door knobs",,
,drawer organisers,,
,dry robe,,
,dyslexia overlays,,
,ear piercing kit,,
,Ear wax remover,,
,Elastic for masks,,
,epoxy resin,,
,Exercise ball,,
,Fabric shaver,,
,fidget spinner,,
,fidget toy pack,,
,File organizer,,
,"Floating shelf, flasting shelves, rope shelf",,
,floss picks,,
,Foam Roller,,
,foil trays,,
,food bag clips,,
,football pump,,
,Forehead Thermometer,,
,fruit bowl,,
,Frying Pan,,
,furniture pads,,
,Garden Bags,,
,Garlic crusher,,
,glue dots,,
,glue gun,,
,glue gun sticks,,
,Gold Leaf Sheet,,
,Hair Bands for Men,,
,Hair Claw Clip,,
,Hanging bird feeder,,
,heat gun,,
,heat transfer vinyl,,
,Heel Grips,,
,Hessian Ribbon,,
,hip flask,,
,holographic packaging bags,,
,Hot Water Bottle,,
,ice & snow grips,,
,Ice cream scoop,,
,Ice Scoop,,
,Icecube Tray,,
,Jawline Exerciser,,
,jewellery organiser,,
,Jewellery Stand,,
,Kitchen Scissor,,
,kitchen tongs,,
,Kitchen Trolley,,
,Kites for children,,
,Knee Support,,
,knife set,,
,knitting needle set,,
,LED Dog Collar,,
,Lemon Zester/Graters,,
,lint cleaner,,
,loaf tin,,
,Loom Bands,,
,lunch bag,,
,Measuring Cups,,
,measuring jugs,,
,memory foam pillow,,
,metalic markers pen,,
,Mexican Party Decorations,,
,Milk Jug/Pitcher,,
